sample_size,variables,arm,replications,false_inclusion_rate,expected_false_edges,strong_recovery,blank_given_strong_truth,explore_matched_recovery,baseline_matched_recovery,matched_gain,runtime_seconds,precision,weak_recovery,unconditional_blank,jaccard_median,both_blank_rate,jaccard_strong,jaccard_weak,jaccard_nonedge,disagreement_share_strong,disagreement_share_weak,disagreement_share_nonedge,pass_1a,pass_1b,pass_2,pass_3,pass_4,pass_5,eligible
100,6,linear,500,0.0017484848484848486,0.018,0.8113666666666667,0.018,0.9528333333333333,0.9506666666666667,0.00216666666666665,0.2895717244999787,0.9958927359131026,0.238,0.018,0.6666666666666666,0.004,1.0,0.0,0.0,0.6030163599182005,0.37551124744376274,0.021472392638036807,True,True,True,True,True,True,True
100,7,linear,500,0.0036325507825507824,0.05,0.8432333333333333,0.0,0.9321999999999999,0.9198666666666667,0.012333333333333196,0.6634866139999644,0.9886809523809523,0.30483095238095237,0.0,0.6,0.0,1.0,0.3333333333333333,0.0,0.2729259259259259,0.6735185185185186,0.05355555555555555,True,True,True,True,True,True,True
100,8,linear,500,0.014528385629267308,0.264,0.8994333333333333,0.0,0.9095,0.8971,0.012399999999999967,1.0898797249999461,0.9563428571428572,0.3663184593184593,0.0,0.5714285714285714,0.0,1.0,0.4,0.0,0.1155787037037037,0.7309862764550265,0.15343501984126984,True,True,True,True,True,True,True
100,9,linear,500,0.0057932294436642265,0.136,0.8691,0.0,0.9546333333333333,0.9646333333333333,-0.010000000000000009,1.0788900654999907,0.9770428571428572,0.2903521922521923,0.0,0.5,0.0,1.0,0.3333333333333333,0.0,0.13743119559651817,0.7864519329237071,0.07611687147977471,True,True,True,True,True,True,True
100,10,linear,500,0.00346346975265687,0.104,0.8029333333333333,0.0,0.9403333333333334,0.9401666666666667,0.0001666666666666483,1.2853867895000342,0.9822412698412698,0.22958008984479575,0.0,0.42857142857142855,0.0,1.0,0.25,0.0,0.1597290089744818,0.7968916674651081,0.043379323560410084,True,True,True,True,True,True,True
125,6,linear,500,0.0022939393939393937,0.024,0.8723333333333333,0.006,0.969,0.9715,-0.0025000000000000577,0.2856280984999984,0.9942655935613681,0.2856666666666666,0.006,0.75,0.0,1.0,0.0,0.0,0.4250741839762611,0.5427794263105835,0.03214638971315529,True,True,True,True,True,True,True
125,7,linear,500,0.006236071934601346,0.088,0.9056666666666667,0.0,0.9563333333333334,0.9405,0.015833333333333366,0.644471391999943,0.982734126984127,0.38687380952380956,0.0,0.6666666666666666,0.0,1.0,0.5,0.0,0.19000686813186812,0.7202495421245422,0.08974358974358973,True,True,True,True,True,True,True
125,8,linear,500,0.01560436165104694,0.28,0.9430333333333333,0.0,0.9616333333333333,0.9299333333333334,0.03169999999999995,1.0866718849998733,0.9581238095238095,0.4293033189033189,0.0,0.6,0.0,1.0,0.5,0.0,0.0672843195855748,0.7778541542139868,0.15486152620043833,True,True,True,True,True,True,True
125,9,linear,500,0.0051455525633786504,0.12,0.9155333333333333,0.0,0.9705999999999999,0.9629333333333333,0.0076666666666665995,1.2441785504998961,0.9820111111111112,0.34540658785658784,0.0,0.5714285714285714,0.0,1.0,0.42857142857142855,0.0,0.10401775401775401,0.8285186285186285,0.06746361746361745,True,True,True,True,True,True,True
125,10,linear,500,0.002314564108303067,0.068,0.9133333333333332,0.0,0.9806666666666666,0.9748333333333332,0.005833333333333357,1.2647911749999707,0.9880777777777778,0.27945158975011913,0.0,0.5,0.0,1.0,0.3333333333333333,0.0,0.0909271651634177,0.8660912294313516,0.04298160540523066,True,True,True,True,True,True,True
150,6,linear,500,0.002478787878787879,0.026,0.9226666666666667,0.0,0.9843333333333333,0.974,0.010333333333333306,0.1289484019999989,0.9945333333333333,0.3435,0.0,0.75,0.0,1.0,0.0,0.0,0.33360745614035087,0.6137609649122806,0.05263157894736842,True,True,True,True,True,True,True
150,7,linear,500,0.0075356284238637175,0.108,0.9425666666666668,0.0,0.9807,0.9533333333333333,0.02736666666666676,0.4322180140000569,0.9785119047619049,0.44539047619047617,0.0,0.75,0.0,1.0,0.5,0.0,0.13099918099918098,0.7642096642096642,0.10479115479115479,True,True,True,True,True,True,True
