family,edge_strength,n,reference_delta,method,setting,replications,false_prunes,true_prunes,edges,nonedges,moral_only,familywise_errors,practical_false_prunes,practical_true_prunes,practical_present,practical_absent,practical_familywise_errors,false_prune_rate,true_prune_rate,moral_graph_prune_ceiling,practical_false_prune_rate,practical_true_prune_rate,familywise_error_rate,practical_familywise_error_rate,practical_familywise_upper_bound,familywise_upper_bound
additive_nonlinear,strong,375,0.05,fci,0.01,100,550,8548,1733,8767,572,100,549,8549,1727,8773,100,0.3173687247547605,0.9750199612182047,0.9347553324968633,0.31789229878401853,0.9744671150119686,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,strong,375,0.05,fci,0.05,100,532,8481,1733,8767,572,100,531,8482,1727,8773,100,0.30698211194460473,0.9673776662484316,0.9347553324968633,0.307469600463231,0.9668300467342984,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,strong,375,0.05,fci,0.1,100,506,8410,1733,8767,572,100,505,8411,1727,8773,100,0.2919792267743797,0.9592791148625528,0.9347553324968633,0.2924145917776491,0.958737034081842,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,strong,375,0.05,fci,0.2,100,477,8209,1733,8767,572,100,476,8210,1727,8773,100,0.27524523946912866,0.9363522299532338,0.9347553324968633,0.27562246670526924,0.9358258292488316,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,strong,375,0.05,ges,0.5,100,471,8279,1733,8767,572,100,470,8280,1727,8773,100,0.27178303519907676,0.9443367172350862,0.9347553324968633,0.2721482339316734,0.9438048558075914,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,strong,375,0.05,ges,1.0,100,522,8487,1733,8767,572,100,521,8488,1727,8773,100,0.30121177149451817,0.9680620508725903,0.9347553324968633,0.301679212507238,0.9675139632964779,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,strong,375,0.05,ges,2.0,100,551,8569,1733,8767,572,100,550,8570,1727,8773,100,0.31794575879976916,0.9774153074027604,0.9347553324968633,0.3184713375796178,0.9768608229795965,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,strong,375,0.05,ges,4.0,100,577,8627,1733,8767,572,100,573,8631,1727,8773,100,0.33294864396999424,0.9840310254362952,0.9347553324968633,0.33178922987840187,0.9838139746950872,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,strong,375,0.05,pc,0.001,100,570,8581,1733,8767,572,100,569,8582,1727,8773,100,0.32890940565493365,0.9787840766510779,0.9347553324968633,0.3294730746960046,0.9782286561039553,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,strong,375,0.05,pc,0.005,100,551,8539,1733,8767,572,100,550,8540,1727,8773,100,0.31794575879976916,0.9739933842819665,0.9347553324968633,0.3184713375796178,0.9734412401686994,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,strong,375,0.05,pc,0.01,100,546,8510,1733,8767,572,100,545,8511,1727,8773,100,0.3150605885747259,0.970685525265199,0.9347553324968633,0.3155761436016213,0.9701356434514989,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,strong,375,0.05,pc,0.05,100,522,8387,1733,8767,572,100,521,8388,1727,8773,100,0.30121177149451817,0.9566556404699441,0.9347553324968633,0.301679212507238,0.9561153539268209,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,strong,375,0.05,pc,0.1,100,493,8272,1733,8767,572,100,492,8273,1727,8773,100,0.28447778418926717,0.9435382685069009,0.9347553324968633,0.28488708743485813,0.9430069531517155,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,strong,375,0.05,pc,0.2,100,452,7919,1733,8767,572,100,451,7920,1727,8773,100,0.2608193883439123,0.9032736397855595,0.9347553324968633,0.2611464968152866,0.9027698620768266,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,strong,375,0.05,renca,0.05,100,0,158,1733,8767,572,0,0,158,1727,8773,0,0.0,0.018022128436181135,0.9347553324968633,0.0,0.018009802804057905,0.0,0.0,0.02922515353903906,0.02922515353903906
additive_nonlinear,strong,375,0.1,conservative_pc,0.05,100,522,8387,1733,8767,572,100,517,8392,1703,8797,100,0.30121177149451817,0.9566556404699441,0.9347553324968633,0.30358191426893716,0.9539615778106173,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,strong,375,0.1,ebicglasso,0.0,100,393,6789,1733,8767,572,98,389,6793,1703,8797,97,0.2267743796884016,0.7743812022356564,0.9347553324968633,0.22842043452730476,0.7721950664999432,0.98,0.97,0.986360919608504,0.9918560999260562
