strategy,replicate,full_worse,risk_gap
current_selection,65,False,-0.0797204317605914
current_selection,66,False,-0.04340489123848079
current_selection,67,True,0.014895744348954354
current_selection,68,False,-0.0009862719499408312
current_selection,69,False,-0.08976961265286054
current_selection,70,False,-0.009757765886011072
current_selection,71,False,-0.052147793958633226
current_selection,72,False,-0.05163768033371341
current_selection,73,False,-0.0029646423978855196
current_selection,74,False,-0.010333898701077038
current_selection,75,True,0.01825088185807089
current_selection,76,False,-0.03802491209560166
current_selection,77,True,0.011585679308588892
current_selection,78,False,-0.05034569781641096
current_selection,79,False,-0.04060370214018083
current_selection,80,False,-0.009948462716239947
current_selection,81,False,-0.09678889340366847
current_selection,82,True,0.037611082966617415
current_selection,83,False,-0.020714033367710938
current_selection,84,False,-0.056433054195698995
current_selection,85,False,-0.0557930186566713
current_selection,86,False,-0.09947850065527053
current_selection,87,False,-0.049521303712230624
current_selection,88,True,0.024799368326927196
current_selection,89,False,-0.09182901795834653
current_selection,90,False,-0.003768810056576477
current_selection,91,False,-0.034316766438113655
current_selection,92,False,-0.03676871701463713
current_selection,93,False,-0.009420199492294223
current_selection,94,False,-0.06008092279762067
current_selection,95,True,0.0007427035609208765
current_selection,96,False,-0.018873124045296175
current_selection,97,False,-0.05057007233228106
current_selection,98,False,-0.006782299613934173
current_selection,99,False,-0.07323022370404364
repeated_selection,0,True,0.020586251566995672
repeated_selection,1,False,-0.06338974392911745
repeated_selection,2,False,-0.04333258741246637
repeated_selection,3,True,0.018850111142420634
repeated_selection,4,False,-0.0013964018313015192
repeated_selection,5,False,-0.08442765727983848
repeated_selection,6,False,-0.02153904147675867
repeated_selection,7,False,-0.05416308238126133
repeated_selection,8,False,-0.10203928119033145
repeated_selection,9,False,-0.04057576925915263
repeated_selection,10,False,-0.015583140162569231
repeated_selection,11,True,7.248932448011836e-05
repeated_selection,12,True,0.008522474864088303
repeated_selection,13,False,-0.008696505763126083
repeated_selection,14,True,0.006816180332281707
repeated_selection,15,True,0.0008710765645061347
repeated_selection,16,False,-0.03254864788163192
repeated_selection,17,True,0.020968206846663895
repeated_selection,18,False,-0.04768883576129146
repeated_selection,19,True,0.014314617387972461
repeated_selection,20,False,-0.03856454178464275
repeated_selection,21,False,-0.019715985095176247
repeated_selection,22,False,-0.03805755869611249
repeated_selection,23,False,-0.0005943222218278699
repeated_selection,24,False,-0.09399232653279399
repeated_selection,25,True,0.012764817435770182
repeated_selection,26,False,-0.03758024224316148
repeated_selection,27,False,-0.013774175141864076
repeated_selection,28,False,-0.06986767486507794
