replicate,theta_hat,se_theta,z,z_bias_corrected,wald_reject,critical_reject,bias_corrected_reject
210,0.038279367910184,0.010756829536036544,-1.0895991286791908,-1.0335225388539913,False,False,False
211,0.04856720938094561,0.012236231823305289,-0.11709410541940554,-0.06779736714062926,False,False,False
212,0.037844860525377694,0.009484026049710494,-1.2816434087075659,-1.2180410615028863,False,False,False
213,0.03762581842689398,0.009020214773333554,-1.3718278205179546,-1.3049550982081521,False,False,False
214,0.045028289678166356,0.011528385698195791,-0.4312581528749274,-0.37893458099735594,False,False,False
215,0.030460567559693688,0.008433815813889925,-2.3167962013263543,-2.245273852365582,True,True,True
216,0.08369035630682246,0.014151825860638902,2.3806367205610504,2.4232606422833807,False,False,False
217,0.04069124054536615,0.01199327774784142,-0.7761647524847213,-0.7258693844965596,False,False,False
218,0.09569659775505467,0.017255214668665274,2.6482775573947346,2.6832354718162406,False,False,False
219,0.04025786243634253,0.010063647299966175,-0.9680523644434773,-0.9081132290850729,False,False,False
220,0.04672357199591505,0.01214847463877283,-0.26969871539493284,-0.22004587126035044,False,False,False
221,0.04739165493335732,0.01128887756561704,-0.23105442073240454,-0.17762073662999897,False,False,False
222,0.03400370349452216,0.009846392517777226,-1.6245844837687746,-1.56332282711403,False,False,False
223,0.051657998656901336,0.011756053363010784,0.14103361100061484,0.19234388487278364,False,False,False
224,0.04769257110747459,0.012276890153730234,-0.18794897271474906,-0.13881549427203163,False,False,False
225,0.0651762706873632,0.014445676835268779,1.0505752593267692,1.0923321340367995,False,False,False
226,0.07228038869453646,0.014610258455630284,1.5249825156891985,1.566269007611554,False,False,False
227,0.04528055920011738,0.010493518964686215,-0.44974815557726,-0.3922644535186959,False,False,False
228,0.017037431613553988,0.007459703581421803,-4.4187504270998685,-4.337888458373098,True,True,True
229,0.04098828277978393,0.01176850115190593,-0.7657489347109089,-0.7144929327845954,False,False,False
230,0.05989501822364281,0.012983649265130681,0.7621137957120571,0.8085727153419877,False,False,False
231,0.03189793057569722,0.009544759375621178,-1.896545393332631,-1.8333477480098377,True,False,True
232,0.03986196896861358,0.009929695531963552,-1.020981056141373,-0.9602333407889534,False,False,False
233,0.03662659196748626,0.01120895289893056,-1.1931005646200632,-1.1392858753131374,False,False,False
234,0.04172785825227381,0.009680424656265297,-0.8545226104696091,-0.792210641818367,False,False,False
235,0.0624251815657683,0.01286079033470712,0.9661289269475725,1.0130316679155253,False,False,False
236,0.036075128254642264,0.009843426570880226,-1.414636625273524,-1.3533565097194162,False,False,False
237,0.06987961687937512,0.014661431746097828,1.3559123845231635,1.3970547728081595,False,False,False
238,0.050022493197556674,0.011546820473743582,0.001947999244278399,0.05418803528567616,False,False,False
239,0.06558611538997097,0.013415513643637024,1.1617978859395712,1.2067612271678818,False,False,False
240,0.05640557461389468,0.012265837388410982,0.5222288875235535,0.5714066402207999,False,False,False
241,0.06802814699944473,0.01392784434653022,1.2943960709853854,1.3377054520140572,False,False,False
242,0.061234224147405536,0.014114144240703577,0.7959550331792214,0.8386927512742609,False,False,False
243,0.05249574059439601,0.011049189198489726,0.22587545109075893,0.28046826390949176,False,False,False
244,0.047373965131322894,0.01186938913379259,-0.2212443150255046,-0.17042398123136152,False,False,False
245,0.044006140022638626,0.011507345823026269,-0.5208724991446443,-0.4684532595572761,False,False,False
246,0.03926179467705157,0.011105902295427633,-0.966891751548131,-0.9125777208943355,False,False,False
247,0.04394675735750035,0.011086861265852814,-0.5459834390769774,-0.4915761272826312,False,False,False
248,0.06126007144254919,0.013022660441775821,0.8646521571297087,0.9109719026539695,False,False,False
249,0.05758394716572931,0.013807768803837791,0.5492521835693969,0.5929381929660965,False,False,False
250,0.030644937718457884,0.008699592734853054,-2.22482395112592,-2.155486645794913,True,True,True
